datetime,discharge_cms,,,,
1973/09/06,810,,,,
1973/09/07,779,,,,
1973/09/08,753,,,,
1973/09/09,731,,,,
1973/09/10,748,,,,
1973/09/11,767,,,,
1973/09/12,784,,,,
1973/09/13,804,,,,
1973/09/14,821,,,,
1973/09/15,841,,,,
1973/09/16,858,,,,
1973/09/17,878,,,,
1973/09/18,895,,,,
1973/09/19,909,,,,
1973/09/20,909,,,,
1973/09/21,898,,,,
1973/09/22,864,,,,
1973/09/23,813,,,,
1973/09/24,779,,,,
1973/09/25,759,,,,
1973/09/26,742,,,,
1973/09/27,733,,,,
1973/09/28,711,,,,
1973/09/29,708,,,,
1973/09/30,708,,,,
1973/10/01,711,,,,
1973/10/02,711,,,,
1973/10/03,714,,,,
1973/10/04,714,,,,
1973/10/05,714,,,,
1973/10/06,716,,,,
1973/10/07,716,,,,
1973/10/08,779,,,,
1973/10/09,827,,,,
1973/10/10,838,,,,
1973/10/11,850,,,,
1973/10/12,861,,,,
1973/10/13,872,,,,
1973/10/14,883,,,,
1973/10/15,895,,,,
1973/10/16,881,,,,
1973/10/17,864,,,,
1973/10/18,838,,,,
1973/10/19,818,,,,
1973/10/20,804,,,,
1973/10/21,790,,,,
1973/10/22,773,,,,
1973/10/23,759,,,,
1973/10/24,742,,,,
1973/10/25,739,,,,
1973/10/26,736,,,,
1973/10/27,750,,,,
1973/10/28,765,,,,
1973/10/29,793,,,,
1973/10/30,818,,,,
1973/10/31,833,,,,
1973/11/01,841,,,,
1973/11/02,850,,,,
1973/11/03,833,,,,
1973/11/04,756,,,,
1973/11/05,651,,,,
1973/11/06,566,,,,
1973/11/07,481,,,,
1973/11/08,447,,,,
1973/11/09,445,,,,
1973/11/10,442,,,,
1973/11/11,442,,,,
1973/11/12,439,,,,
1973/11/13,436,,,,
1973/11/14,428,,,,
1973/11/15,422,,,,
1973/11/16,413,,,,
1973/11/17,405,,,,
1973/11/18,396,,,,
1973/11/19,391,,,,
1973/11/20,382,,,,
1973/11/21,377,,,,
1973/11/22,371,,,,
1973/11/23,368,,,,
1973/11/24,365,,,,
1973/11/25,365,,,,
1973/11/26,362,,,,
1973/11/27,360,,,,
1973/11/28,357,,,,
1973/11/29,354,,,,
1973/11/30,351,,,,
1973/12/01,351,,,,
1973/12/02,348,,,,
1973/12/03,345,,,,
1973/12/04,345,,,,
1973/12/05,343,,,,
1973/12/06,340,,,,
1973/12/07,340,,,,
1973/12/08,337,,,,
1973/12/09,334,,,,
1973/12/10,334,,,,
1973/12/11,331,,,,
1973/12/12,328,,,,
1973/12/13,328,,,,
1973/12/14,326,,,,
1973/12/15,323,,,,
1973/12/16,323,,,,
1973/12/17,320,,,,
1973/12/18,317,,,,
1973/12/19,317,,,,
1973/12/20,314,,,,
1973/12/21,311,,,,
1973/12/22,311,,,,
1973/12/23,309,,,,
1973/12/24,306,,,,
1973/12/25,306,,,,
1973/12/26,303,,,,
1973/12/27,300,,,,
1973/12/28,300,,,,
1973/12/29,297,,,,
1973/12/30,294,,,,
1973/12/31,294,,,,
1974/01/01,276,,,,
1974/01/02,278,,,,
1974/01/03,278,,,,
1974/01/04,279,,,,
1974/01/05,278,,,,
1974/01/06,278,,,,
1974/01/07,279,,,,
1974/01/08,281,,,,
1974/01/09,283,,,,
1974/01/10,280,,,,
1974/01/11,278,,,,
1974/01/12,276,,,,
1974/01/13,273,,,,
1974/01/14,272,,,,
1974/01/15,271,,,,
1974/01/16,270,,,,
1974/01/17,268,,,,
1974/01/18,268,,,,
1974/01/19,266,,,,
1974/01/20,265,,,,
1974/01/21,264,,,,
1974/01/22,263,,,,
1974/01/23,262,,,,
1974/01/24,261,,,,
1974/01/25,260,,,,
1974/01/26,259,,,,
1974/01/27,258,,,,
1974/01/28,257,,,,
1974/01/29,256,,,,
1974/01/30,255,,,,
1974/01/31,254,,,,
1974/02/01,253,,,,
1974/02/02,252,,,,
1974/02/03,251,,,,
1974/02/04,250,,,,
1974/02/05,249,,,,
1974/02/06,248,,,,
1974/02/07,247,,,,
1974/02/08,246,,,,
1974/02/09,245,,,,
1974/02/10,244,,,,
1974/02/11,242,,,,
1974/02/12,241,,,,
1974/02/13,240,,,,
1974/02/14,239,,,,
1974/02/15,238,,,,
1974/02/16,237,,,,
1974/02/17,236,,,,
1974/02/18,235,,,,
1974/02/19,234,,,,
1974/02/20,233,,,,
1974/02/21,232,,,,
1974/02/22,232,,,,
1974/02/23,231,,,,
1974/02/24,230,,,,
1974/02/25,231,,,,
1974/02/26,231,,,,
1974/02/27,231,,,,
1974/02/28,231,,,,
1974/03/01,231,,,,
1974/03/02,231,,,,
1974/03/03,232,,,,
1974/03/04,232,,,,
1974/03/05,231,,,,
1974/03/06,231,,,,
1974/03/07,231,,,,
1974/03/08,228,,,,
1974/03/09,225,,,,
1974/03/10,222,,,,
1974/03/11,221,,,,
